====================================================================================================
COMPREHENSIVE CLASSIFICATION REPORT
Frequency Domain CNN - Fruits-360 Dataset (6-channel: Magnitude + 1 Phase Component)
====================================================================================================

OVERALL METRICS:
----------------------------------------------------------------------------------------------------
Overall Accuracy:           0.819520 (81.9520%)
Cohen's Kappa Score:        0.818634
Total Test Samples:         39212
Number of Classes:          225
Correctly Classified:       32135
Misclassified:              7077

====================================================================================================
PER-CLASS METRICS:
====================================================================================================

Class Name                     Precision    Recall       F1-Score     Sensitivity   Specificity   Error Rate   Support   
18038      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18039      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18040      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18041      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18042      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18043      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18044      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18045      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18046      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18047      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18048      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18049      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18050      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18051      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18052      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18053      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18054      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18055      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18056      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18057      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18058      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18059      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18060      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18061      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18062      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18063      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18064      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18065      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18066      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18067      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18068      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18069      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18070      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18071      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18072      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18073      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18074      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18075      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18076      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18077      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18078      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18079      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18080      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18081      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18082      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18083      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18084      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18085      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18086      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18087      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18088      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18089      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18090      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18091      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18092      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18093      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18094      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18095      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18096      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18097      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18098      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18099      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18100      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18101      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18102      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18103      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18104      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18105      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18106      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18107      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18108      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18109      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18110      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18111      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18112      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18113      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18114      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18115      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18116      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18117      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18118      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18119      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18120      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18121      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18122      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18123      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18124      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18125      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18126      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18127      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18128      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18129      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18130      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18131      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18132      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18133      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18134      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18135      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18136      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18137      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18138      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18139      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18140      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18141      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18142      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18143      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18144      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18145      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18146      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18147      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18148      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18149      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18150      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18151      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18152      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18153      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18154      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18155      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18156      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18157      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18158      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18159      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18160      Grapefruit White 1             Quince 1                       INCORRECT ✗    
18161      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18162      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18163      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18164      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18165      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18166      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18167      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18168      Grapefruit White 1             Grapefruit White 1             CORRECT ✓      
18169      Guava 1                        Guava 1                        CORRECT ✓      
18170      Guava 1                        Granadilla 1                   INCORRECT ✗    
18171      Guava 1                        Guava 1                        CORRECT ✓      
18172      Guava 1                        Guava 1                        CORRECT ✓      
18173      Guava 1                        Guava 1                        CORRECT ✓      
18174      Guava 1                        Guava 1                        CORRECT ✓      
18175      Guava 1                        Guava 1                        CORRECT ✓      
18176      Guava 1                        Guava 1                        CORRECT ✓      
18177      Guava 1                        Guava 1                        CORRECT ✓      
18178      Guava 1                        Guava 1                        CORRECT ✓      
18179      Guava 1                        Guava 1                        CORRECT ✓      
18180      Guava 1                        Guava 1                        CORRECT ✓      
18181      Guava 1                        Guava 1                        CORRECT ✓      
18182      Guava 1                        Guava 1                        CORRECT ✓      
18183      Guava 1                        Guava 1                        CORRECT ✓      
18184      Guava 1                        Guava 1                        CORRECT ✓      
18185      Guava 1                        Guava 1                        CORRECT ✓      
18186      Guava 1                        Guava 1                        CORRECT ✓      
18187      Guava 1                        Guava 1                        CORRECT ✓      
18188      Guava 1                        Guava 1                        CORRECT ✓      
18189      Guava 1                        Guava 1                        CORRECT ✓      
18190      Guava 1                        Guava 1                        CORRECT ✓      
18191      Guava 1                        Guava 1                        CORRECT ✓      
18192      Guava 1                        Guava 1                        CORRECT ✓      
18193      Guava 1                        Guava 1                        CORRECT ✓      
18194      Guava 1                        Guava 1                        CORRECT ✓      
18195      Guava 1                        Guava 1                        CORRECT ✓      
18196      Guava 1                        Guava 1                        CORRECT ✓      
18197      Guava 1                        Guava 1                        CORRECT ✓      
18198      Guava 1                        Guava 1                        CORRECT ✓      
18199      Guava 1                        Guava 1                        CORRECT ✓      
18200      Guava 1                        Guava 1                        CORRECT ✓      
18201      Guava 1                        Guava 1                        CORRECT ✓      
18202      Guava 1                        Guava 1                        CORRECT ✓      
18203      Guava 1                        Guava 1                        CORRECT ✓      
18204      Guava 1                        Guava 1                        CORRECT ✓      
18205      Guava 1                        Guava 1                        CORRECT ✓      
18206      Guava 1                        Guava 1                        CORRECT ✓      
18207      Guava 1                        Guava 1                        CORRECT ✓      
18208      Guava 1                        Guava 1                        CORRECT ✓      
18209      Guava 1                        Guava 1                        CORRECT ✓      
18210      Guava 1                        Guava 1                        CORRECT ✓      
18211      Guava 1                        Guava 1                        CORRECT ✓      
18212      Guava 1                        Guava 1                        CORRECT ✓      
18213      Guava 1                        Guava 1                        CORRECT ✓      
18214      Guava 1                        Guava 1                        CORRECT ✓      
18215      Guava 1                        Guava 1                        CORRECT ✓      
18216      Guava 1                        Guava 1                        CORRECT ✓      
18217      Guava 1                        Guava 1                        CORRECT ✓      
18218      Guava 1                        Guava 1                        CORRECT ✓      
18219      Guava 1                        Guava 1                        CORRECT ✓      
18220      Guava 1                        Guava 1                        CORRECT ✓      
18221      Guava 1                        Guava 1                        CORRECT ✓      
18222      Guava 1                        Guava 1                        CORRECT ✓      
18223      Guava 1                        Guava 1                        CORRECT ✓      
18224      Guava 1                        Guava 1                        CORRECT ✓      
18225      Guava 1                        Guava 1                        CORRECT ✓      
18226      Guava 1                        Guava 1                        CORRECT ✓      
18227      Guava 1                        Guava 1                        CORRECT ✓      
18228      Guava 1                        Granadilla 1                   INCORRECT ✗    
18229      Guava 1                        Granadilla 1                   INCORRECT ✗    
18230      Guava 1                        Guava 1                        CORRECT ✓      
18231      Guava 1                        Guava 1                        CORRECT ✓      
18232      Guava 1                        Guava 1                        CORRECT ✓      
18233      Guava 1                        Guava 1                        CORRECT ✓      
18234      Guava 1                        Guava 1                        CORRECT ✓      
18235      Guava 1                        Guava 1                        CORRECT ✓      
18236      Guava 1                        Guava 1                        CORRECT ✓      
18237      Guava 1                        Granadilla 1                   INCORRECT ✗    
18238      Guava 1                        Guava 1                        CORRECT ✓      
18239      Guava 1                        Guava 1                        CORRECT ✓      
18240      Guava 1                        Guava 1                        CORRECT ✓      
18241      Guava 1                        Guava 1                        CORRECT ✓      
18242      Guava 1                        Guava 1                        CORRECT ✓      
18243      Guava 1                        Guava 1                        CORRECT ✓      
18244      Guava 1                        Guava 1                        CORRECT ✓      
18245      Guava 1                        Guava 1                        CORRECT ✓      
18246      Guava 1                        Guava 1                        CORRECT ✓      
18247      Guava 1                        Guava 1                        CORRECT ✓      
18248      Guava 1                        Guava 1                        CORRECT ✓      
18249      Guava 1                        Guava 1                        CORRECT ✓      
18250      Guava 1                        Guava 1                        CORRECT ✓      
18251      Guava 1                        Guava 1                        CORRECT ✓      
18252      Guava 1                        Guava 1                        CORRECT ✓      
18253      Guava 1                        Guava 1                        CORRECT ✓      
18254      Guava 1                        Guava 1                        CORRECT ✓      
18255      Guava 1                        Guava 1                        CORRECT ✓      
18256      Guava 1                        Guava 1                        CORRECT ✓      
18257      Guava 1                        Guava 1                        CORRECT ✓      
18258      Guava 1                        Guava 1                        CORRECT ✓      
18259      Guava 1                        Guava 1                        CORRECT ✓      
18260      Guava 1                        Guava 1                        CORRECT ✓      
18261      Guava 1                        Guava 1                        CORRECT ✓      
18262      Guava 1                        Guava 1                        CORRECT ✓      
18263      Guava 1                        Guava 1                        CORRECT ✓      
18264      Guava 1                        Guava 1                        CORRECT ✓      
18265      Guava 1                        Guava 1                        CORRECT ✓      
18266      Guava 1                        Guava 1                        CORRECT ✓      
18267      Guava 1                        Guava 1                        CORRECT ✓      
18268      Guava 1                        Guava 1                        CORRECT ✓      
18269      Guava 1                        Guava 1                        CORRECT ✓      
18270      Guava 1                        Guava 1                        CORRECT ✓      
18271      Guava 1                        Guava 1                        CORRECT ✓      
18272      Guava 1                        Guava 1                        CORRECT ✓      
18273      Guava 1                        Guava 1                        CORRECT ✓      
18274      Guava 1                        Guava 1                        CORRECT ✓      
18275      Guava 1                        Guava 1                        CORRECT ✓      
18276      Guava 1                        Guava 1                        CORRECT ✓      
18277      Guava 1                        Guava 1                        CORRECT ✓      
18278      Guava 1                        Guava 1                        CORRECT ✓      
18279      Guava 1                        Guava 1                        CORRECT ✓      
18280      Guava 1                        Guava 1                        CORRECT ✓      
18281      Guava 1                        Guava 1                        CORRECT ✓      
18282      Guava 1                        Guava 1                        CORRECT ✓      
18283      Guava 1                        Guava 1                        CORRECT ✓      
18284      Guava 1                        Apple hit 1                    INCORRECT ✗    
18285      Guava 1                        Pear 1                         INCORRECT ✗    
18286      Guava 1                        Pear 1                         INCORRECT ✗    
18287      Guava 1                        Pear 1                         INCORRECT ✗    
18288      Guava 1                        Apple hit 1                    INCORRECT ✗    
18289      Guava 1                        Guava 1                        CORRECT ✓      
18290      Guava 1                        Guava 1                        CORRECT ✓      
18291      Guava 1                        Guava 1                        CORRECT ✓      
18292      Guava 1                        Guava 1                        CORRECT ✓      
18293      Guava 1                        Guava 1                        CORRECT ✓      
18294      Guava 1                        Guava 1                        CORRECT ✓      
18295      Guava 1                        Guava 1                        CORRECT ✓      
18296      Guava 1                        Guava 1                        CORRECT ✓      
18297      Guava 1                        Guava 1                        CORRECT ✓      
18298      Guava 1                        Guava 1                        CORRECT ✓      
18299      Guava 1                        Guava 1                        CORRECT ✓      
18300      Guava 1                        Guava 1                        CORRECT ✓      
18301      Guava 1                        Guava 1                        CORRECT ✓      
18302      Guava 1                        Guava 1                        CORRECT ✓      
18303      Guava 1                        Guava 1                        CORRECT ✓      
18304      Guava 1                        Guava 1                        CORRECT ✓      
18305      Guava 1                        Guava 1                        CORRECT ✓      
18306      Guava 1                        Guava 1                        CORRECT ✓      
18307      Guava 1                        Guava 1                        CORRECT ✓      
18308      Guava 1                        Guava 1                        CORRECT ✓      
18309      Guava 1                        Guava 1                        CORRECT ✓      
18310      Guava 1                        Guava 1                        CORRECT ✓      
18311      Guava 1                        Guava 1                        CORRECT ✓      
18312      Guava 1                        Guava 1                        CORRECT ✓      
18313      Guava 1                        Guava 1                        CORRECT ✓      
18314      Guava 1                        Guava 1                        CORRECT ✓      
18315      Guava 1                        Guava 1                        CORRECT ✓      
18316      Guava 1                        Guava 1                        CORRECT ✓      
18317      Guava 1                        Guava 1                        CORRECT ✓      
18318      Guava 1                        Guava 1                        CORRECT ✓      
18319      Guava 1                        Guava 1                        CORRECT ✓      
18320      Guava 1                        Guava 1                        CORRECT ✓      
18321      Guava 1                        Guava 1                        CORRECT ✓      
18322      Guava 1                        Guava 1                        CORRECT ✓      
18323      Guava 1                        Guava 1                        CORRECT ✓      
18324      Guava 1                        Guava 1                        CORRECT ✓      
18325      Guava 1                        Guava 1                        CORRECT ✓      
18326      Guava 1                        Guava 1                        CORRECT ✓      
18327      Guava 1                        Guava 1                        CORRECT ✓      
18328      Guava 1                        Guava 1                        CORRECT ✓      
18329      Guava 1                        Guava 1                        CORRECT ✓      
18330      Guava 1                        Guava 1                        CORRECT ✓      
18331      Guava 1                        Guava 1                        CORRECT ✓      
18332      Guava 1                        Guava 1                        CORRECT ✓      
18333      Guava 1                        Guava 1                        CORRECT ✓      
18334      Guava 1                        Guava 1                        CORRECT ✓      
18335      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18336      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18337      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18338      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18339      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18340      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18341      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18342      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18343      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18344      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18345      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18346      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18347      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18348      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18349      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18350      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18351      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18352      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18353      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18354      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18355      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18356      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18357      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18358      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18359      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18360      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18361      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18362      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18363      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18364      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18365      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18366      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18367      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18368      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18369      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18370      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18371      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18372      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18373      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18374      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18375      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18376      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18377      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18378      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18379      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18380      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18381      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18382      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18383      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18384      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18385      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18386      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18387      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18388      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18389      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18390      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18391      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18392      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18393      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18394      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18395      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18396      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18397      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18398      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18399      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18400      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18401      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18402      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18403      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18404      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18405      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18406      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18407      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18408      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18409      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18410      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18411      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18412      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18413      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18414      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18415      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18416      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18417      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18418      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18419      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18420      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18421      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18422      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18423      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18424      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18425      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18426      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18427      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18428      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18429      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18430      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18431      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18432      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18433      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18434      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18435      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18436      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18437      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18438      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18439      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18440      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18441      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18442      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18443      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18444      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18445      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18446      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18447      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18448      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18449      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18450      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18451      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18452      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18453      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18454      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18455      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18456      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18457      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18458      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18459      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18460      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18461      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18462      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18463      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18464      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18465      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18466      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18467      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18468      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18469      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18470      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18471      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18472      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18473      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18474      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18475      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18476      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18477      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18478      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18479      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18480      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18481      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
18482      Hazelnut 1                     Hazelnut 1                     CORRECT ✓      
