====================================================================================================
COMPREHENSIVE CLASSIFICATION REPORT
Frequency Domain CNN - Fruits-360 Dataset (6-channel: Magnitude + 1 Phase Component)
====================================================================================================

OVERALL METRICS:
----------------------------------------------------------------------------------------------------
Overall Accuracy:           0.819520 (81.9520%)
Cohen's Kappa Score:        0.818634
Total Test Samples:         39212
Number of Classes:          225
Correctly Classified:       32135
Misclassified:              7077

====================================================================================================
PER-CLASS METRICS:
====================================================================================================

Class Name                     Precision    Recall       F1-Score     Sensitivity   Specificity   Error Rate   Support   
Granadilla 1                   0.929487     0.873494     0.900621     0.873494      0.999718      0.000816     166       
Grape Blue 1                   0.939828     1.000000     0.968981     1.000000      0.999460      0.000536     328       
Grape Pink 1                   0.858696     0.963415     0.908046     0.963415      0.999334      0.000816     164       
Grape White 1                  0.992701     0.819277     0.897690     0.819277      0.999974      0.000791     166       
Grape White 2                  0.912088     1.000000     0.954023     1.000000      0.999590      0.000408     166       
Grape White 3                  0.829787     0.475610     0.604651     0.475610      0.999590      0.002601     164       
Grape White 4                  1.000000     0.727848     0.842491     0.727848      1.000000      0.001097     158       
Grapefruit Pink 1              1.000000     0.168675     0.288660     0.168675      1.000000      0.003519     166       
Grapefruit White 1             0.987879     0.993902     0.990881     0.993902      0.999949      0.000077     164       
Guava 1                        0.981250     0.945783     0.963190     0.945783      0.999923      0.000306     166       
Hazelnut 1                     1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     157       
Huckleberry 1                  1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     166       
Kaki 1                         0.906977     0.939759     0.923077     0.939759      0.999590      0.000663     166       
Kiwi 1                         0.993464     0.974359     0.983819     0.974359      0.999974      0.000128     156       
Kohlrabi 1                     0.696629     0.789809     0.740299     0.789809      0.998617      0.002219     157       
Kumquats 1                     0.985294     0.807229     0.887417     0.807229      0.999949      0.000867     166       
Lemon 1                        0.978417     0.829268     0.897690     0.829268      0.999923      0.000791     164       
Lemon Meyer 1                  0.982143     0.993976     0.988024     0.993976      0.999923      0.000102     166       
Limes 1                        1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     166       
Lychee 1                       0.982609     0.680723     0.804270     0.680723      0.999949      0.001403     166       
Mandarine 1                    0.725490     0.891566     0.800000     0.891566      0.998566      0.001887     166       
Mango 1                        0.737778     1.000000     0.849105     1.000000      0.998489      0.001505     166       
Mango Red 1                    0.642424     0.746479     0.690554     0.746479      0.998490      0.002423     142       
Mangostan 1                    0.826923     0.843137     0.834951     0.843137      0.999540      0.000867     102       
Maracuja 1                     0.801527     0.632530     0.707071     0.632530      0.999334      0.002219     166       
Melon Piel de Sapo 1           0.955357     0.869919     0.910638     0.869919      0.999743      0.001071     246       
Mulberry 1                     1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     164       
Nectarine 1                    0.562874     0.573171     0.567976     0.573171      0.998131      0.003647     164       
Nectarine Flat 1               1.000000     0.587500     0.740157     0.587500      1.000000      0.001683     160       
Nectarine Flat 2               0.873563     0.993464     0.929664     0.993464      0.999437      0.000587     153       
Nut 1                          1.000000     0.987500     0.993711     0.987500      1.000000      0.000026     80        
Nut 2                          1.000000     0.265823     0.420000     0.265823      1.000000      0.001479     79        
Nut 3                          1.000000     0.417722     0.589286     0.417722      1.000000      0.001173     79        
Nut 4                          0.453125     0.367089     0.405594     0.367089      0.999106      0.002168     79        
Nut 5                          0.413333     0.775000     0.539130     0.775000      0.997751      0.002703     80        
Nut Forest 1                   0.898230     0.931193     0.914414     0.931193      0.999410      0.000969     218       
Nut Pecan 1                    0.855172     0.696629     0.767802     0.696629      0.999462      0.001913     178       
Onion 2                        0.723647     0.996078     0.838284     0.996078      0.997510      0.002499     255       
Onion Red 1                    0.708738     0.973333     0.820225     0.973333      0.998464      0.001632     150       
Onion Red 2                    0.945946     0.738397     0.829384     0.738397      0.999743      0.001836     237       
Onion Red Peeled 1             0.748792     1.000000     0.856354     1.000000      0.998669      0.001326     155       
Onion White 1                  0.571429     0.986301     0.723618     0.986301      0.997235      0.002805     146       
Onion White Peeled 1           1.000000     0.872549     0.931937     0.872549      1.000000      0.000332     102       
Orange 1                       1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     160       
Papaya 1                       0.823232     0.993902     0.900552     0.993902      0.999104      0.000918     164       
Passion Fruit 1                0.901639     0.662651     0.763889     0.662651      0.999693      0.001734     166       
Peach 1                        0.650000     0.396341     0.492424     0.396341      0.999104      0.003417     164       
Peach 2                        1.000000     0.995935     0.997963     0.995935      1.000000      0.000026     246       
Peach 3                        0.696035     0.516340     0.592871     0.516340      0.998226      0.005534     306       
Peach 4                        0.689655     0.333333     0.449438     0.333333      0.999076      0.004998     240       
Peach 5                        0.868421     0.275000     0.417722     0.275000      0.999743      0.004692     240       
Peach 6                        0.578378     0.451477     0.507109     0.451477      0.997999      0.005304     237       
Peach Flat 1                   0.647799     0.628049     0.637771     0.628049      0.998566      0.002984     164       
Pear 1                         0.690217     0.774390     0.729885     0.774390      0.998540      0.002397     164       
Pear 10                        0.648936     0.792208     0.713450     0.792208      0.997460      0.003749     231       
Pear 11                        0.759690     0.848485     0.801636     0.848485      0.998409      0.002474     231       
Pear 12                        0.718750     0.737179     0.727848     0.737179      0.998848      0.002193     156       
Pear 13                        0.781818     0.358333     0.491429     0.358333      0.999384      0.004539     240       
Pear 2                         0.748344     0.974138     0.846442     0.974138      0.998050      0.002091     232       
Pear 3                         0.781250     0.694444     0.735294     0.694444      0.999642      0.000918     72        
Pear 5                         0.668067     0.682403     0.675159     0.682403      0.997973      0.003902     233       
Pear 6                         0.384615     0.901288     0.539153     0.901288      0.991380      0.009155     233       
Pear 7                         0.307125     0.531915     0.389408     0.531915      0.992765      0.009997     235       
Pear 8                         0.443128     0.809524     0.572741     0.809524      0.993971      0.007115     231       
Pear 9                         0.671329     0.311688     0.425721     0.311688      0.998792      0.006605     308       
Pear Abate 1                   0.893855     0.963855     0.927536     0.963855      0.999513      0.000638     166       
Pear Forelle 1                 0.832740     1.000000     0.908738     1.000000      0.998794      0.001199     234       
Pear Kaiser 1                  1.000000     0.794118     0.885246     0.794118      1.000000      0.000536     102       
Pear Monster 1                 0.711957     0.789157     0.748571     0.789157      0.998643      0.002244     166       
Pear Red 1                     0.829268     0.918919     0.871795     0.918919      0.998923      0.001530     222       
Pear Stone 1                   0.991632     1.000000     0.995798     1.000000      0.999949      0.000051     237       
Pear Williams 1                0.678112     0.951807     0.791980     0.951807      0.998079      0.002117     166       
Pepino 1                       0.836066     0.614458     0.708333     0.614458      0.999488      0.002142     166       
Pepper Green 1                 1.000000     0.459459     0.629630     0.459459      1.000000      0.002040     148       
Pepper Orange 1                0.580247     0.200855     0.298413     0.200855      0.999128      0.005636     234       
Pepper Red 1                   0.846154     0.743243     0.791367     0.743243      0.999231      0.002219     222       
Pepper Yellow 1                0.471976     0.720721     0.570410     0.720721      0.995409      0.006146     222       
Physalis 1                     1.000000     0.993902     0.996942     0.993902      1.000000      0.000026     164       
Physalis with Husk 1           0.993289     0.902439     0.945687     0.902439      0.999974      0.000434     164       
Pineapple 1                    1.000000     0.945783     0.972136     0.945783      1.000000      0.000230     166       
Pineapple Mini 1               0.970238     1.000000     0.984894     1.000000      0.999872      0.000128     163       
Pistachio 1                    0.694864     0.995671     0.818505     0.995671      0.997409      0.002601     231       
Pitahaya Red 1                 0.963415     0.951807     0.957576     0.951807      0.999846      0.000357     166       
Plum 1                         0.978571     0.907285     0.941581     0.907285      0.999923      0.000434     151       
Plum 2                         1.000000     0.816901     0.899225     0.816901      1.000000      0.000663     142       
